smiles,uM_value,pchembl_value
CCOC(=O)c1ccc(NC(=O)C2C3CCC(C3)C2C(=O)O)cc1,20.03,4.7
O=C1CC(=O)C(n2cncn2)C(c2ccc(Cl)cc2Cl)C1,17.95,4.75
O=C(O)C1CC=CCC1C(=O)Nc1cccc(Cl)c1,6.23,5.21
O=C(O)c1cccc(S(=O)(=O)Nc2ccc(O)cc2Sc2nc3ccccc3s2)c1,9.02,5.04
COc1ccc(NC(=O)CSc2nc(O)c(Cc3ccccc3)c(O)n2)cc1,10.18,4.99
Cc1ccc(Nc2nnc(SC3CCOC3=O)s2)c(C)c1,2.57,5.59
CC(C)=NN=C(N)N=C(S)Nc1ccc(C)cc1,59.27,4.23
CCc1c(O)n(C(C)CC)c(SCC(=O)Nc2ccccc2)nc1=O,17.8,4.75
O=C(O)C1CCCCC1C(=O)Nc1ccc(Cl)cc1Cl,14.3,4.84
O=C(O)c1ccccc1NS(=O)(=O)c1ccc(NN=C(S)Nc2ccc(OC(F)F)cc2)c([N+](=O)[O-])c1,5.33,5.27
COc1ccc2cc(/C=C3\SC(=S)NC3=O)c(N3CCOCC3)nc2c1,1.76,5.75
O=C(CSc1nccc(O)n1)Nc1ccc(F)c(Cl)c1,6.03,5.22
COC(=O)c1c(NC(=O)C2CC=CCC2C(=O)O)sc(C)c1C,4.32,5.37
Cc1cc(NS(=O)(=O)c2ccc(NC(=O)CN3C(=O)c4ccccc4C3=O)cc2)nc(C)n1,64.4,4.19
O=C(Cn1cnc2ccccc2c1=O)Nc1ccc2c(c1)CCC2,5.23,5.28
Cc1cc(O)nc(SCC(=O)Nc2ccc(F)cc2)c1C#N,4.1,5.39
CCCCc1ccc(NC(=O)CSCc2cc(O)[nH]n2)cc1,12.37,4.91
O=C(OCC(=O)N1CCCC1)c1ccccc1OCc1ccccc1,4.38,5.36
O=C(CN1C(=O)c2ccccc2S1(=O)=O)Nc1ccccc1,24.64,4.61
Cc1ccc(Nc2nnc(SCC(=O)NC(Cc3c[nH]c4ccccc34)C(=O)O)s2)cc1,3.25,5.49
O=C(O)C1CCCCC1C(=O)Nc1ccc2c(c1)OCCO2,32.88,4.48
N#Cc1c(NC(=O)CSc2nc[nH]n2)sc2c1CCCC2,4.79,5.32
Cc1csc(NC(=O)COCC(=O)O)c1-c1nc2ccccc2s1,35.07,4.46
CCOc1ccc(NC(=O)CSc2nc(N)c(-c3ccccc3)c(O)n2)cc1,5.72,5.24
Nc1nc(SCc2nc(-c3ccccc3)no2)nc(O)c1-c1ccccc1,7.2,5.14
Cc1ccc(S(=O)(=O)Nc2nncs2)cc1,23.17,4.63
O=C1N=C(NS(=O)(=O)Cc2ccccc2)S/C1=C1\C(=O)Nc2ccccc21,26.67,4.57
O=C(CSc1nc[nH]n1)Nc1ccc2c(c1)OCCO2,64.87,4.19
CC1(C)Cc2c(sc(NC(=O)C3CC(Cl)=CCC3C(=O)O)c2C#N)CO1,1.4,5.85
O=C(Nc1nc(=O)n(C(=O)C2CC2)s1)c1ccccc1,40.73,4.39
O=C1C(C2=NC(C(=O)O)C3C(=O)N(c4ccccc4)C(=O)C23)=C(O)c2ccccc21,68.02,4.17
CCOC(=O)c1c(-c2ccc(C)c(C)c2)csc1NC(=O)C1CC=CCC1C(=O)O,10.31,4.99
COc1cc(/C=C2\SC(=S)N(NS(=O)(=O)c3ccccc3)C2=O)ccc1O,38.81,4.41
COc1cc(NC(=O)CSc2nc3cc(C)ccc3cc2C)c(C(=O)O)cc1OC,1.93,5.71
COc1cc(/C=C2\SC(=S)N(NS(=O)(=O)c3ccc(C)cc3)C2=O)ccc1O,27.14,4.57
CCOc1ccc(NC(=O)CSc2nc[nH]n2)c([N+](=O)[O-])c1,5.46,5.26
Cc1sc(NC(=O)C2CCCCC2C(=O)O)c(C(N)=O)c1-c1ccc(C(C)C)cc1,7.2,5.14
Cc1ccccc1NC(=O)CN1C(=O)NC2(CCCCC2)C1=O,71.86,4.14
CCCCc1c(O)nc(SCC(=O)Nc2ccc3c(c2)CCC3)nc1O,7.61,5.12
COc1ccccc1-c1nnc2n1N=C(c1ccc(O)c(O)c1)CS2,39.18,4.41
CCOC(=O)c1c(NC(=O)CSc2nnc(C)c(O)n2)sc2c1CCCC2,9.34,5.03
O=C(O)CCc1nnc(SCC(=O)Nc2ccc(Br)cc2)nc1O,2.45,5.61
N#CC1=C(N)Oc2[nH]nc(-c3ccccc3)c2C1c1ccsc1,64.52,4.19
Cc1ccc(S(=O)(=O)Oc2cccc(N3C(=O)C4CC=CCC4C3=O)c2)cc1,49.63,4.3
CC(C)(C)C1CCc2c(C(=O)NNC(=O)CCCC(=O)O)csc2C1,11.64,4.93
CN(C)c1ccc(N=Nc2ccccc2C(=O)OCC(=O)N(C)C2CCCCC2)cc1,15.17,4.82
Nc1n[nH]c(N)c1N=Nc1ccccc1,7.03,5.15
Nc1n[nH]c(N)c1N=Nc1cccc(F)c1,5.51,5.26
O=C(O)c1ccc(N=Nc2c(O)[nH]c3ccccc23)cc1,84.27,4.07
Cc1cccc(Nc2nnc(SC3CCOC3=O)s2)c1C,2.23,5.65
CCCCCCSc1nc(O)c(C2OC(=O)c3c2ccc(OC)c3OC)c(=O)n1CC,3.0,5.52
O=C(O)c1ccc(/C=C/c2ccc3cccc(O)c3n2)cc1,55.53,4.25
O=C1NC(=O)N(Cc2ccccc2)C(=O)/C1=C/NNC(=O)c1ccccc1O,62.32,4.21
Cn1c(O)cc(=O)nc1SCC(=O)Nc1ccccc1,17.07,4.77
COC(=O)c1c(NC(=O)C2CCCCC2C(=O)O)sc2c1CCCCC2,1.49,5.83
Cc1ccc(SC(=C(Cl)Cl)C(=C2Nc3ccccc3N2)[N+](=O)[O-])cc1,75.72,4.12
CCN(c1cccc(C)c1)S(=O)(=O)c1ccc2nc(O)c(O)nc2c1,1.62,5.79
CC(C)NC(=O)c1cc(C(=O)c2cc(Cl)ccc2O)coc1=N,2.15,5.67
Cc1ccc(NC(=O)CSc2nc[nH]n2)cc1,34.01,4.47
Cc1ccc(Nc2nnc(SCc3cc(=O)n4ccsc4n3)s2)c(C)c1,6.49,5.19
Cc1ccc(C2C(C(=O)c3ccc(Br)cc3)=C(O)C(=O)N2Cc2ccco2)o1,66.39,4.18
O=C(Nc1sc2c(c1C(=O)O)CCCCC2)c1ccccc1F,70.98,4.15
CCOC(=O)c1c(C)oc2ccc(NS(=O)(=O)c3ccc(C(=O)O)cc3)cc12,43.88,4.36
O=C1/C(=C/c2ccc(C(=O)O)cc2)CCC/C1=C\c1ccc(C(=O)O)cc1,62.72,4.2
COc1cc(NC(=O)CSc2nc3ccccc3cc2C)c(C(=O)O)cc1OC,1.57,5.8
COc1ccc(NC(=O)CSc2nc(O)cc(C)c2C#N)cc1OC,16.2,4.79
CC(=O)Nc1c(O)nc(SCC(=O)Nc2cccc(C)c2)nc1O,9.85,5.01
Cc1c(O)c(S(=O)(=O)c2ccccc2)c(=O)n(-c2ccccc2)c1-c1ccccc1,9.98,5.0
O=C(CSc1nc[nH]n1)OCN1C(=O)c2ccccc2C1=O,64.38,4.19
SC1=NC(c2ccccc2)N2C(S)=NC(c3ccccc3)N12,20.92,4.68
COc1ccccc1NC(=O)CSc1nc(O)cc(O)n1,74.74,4.13
CCOC(=O)c1ccc(/C=C2/C=C(c3ccccc3)N(c3ccc(Cl)c(C(=O)O)c3)C2=O)cc1,29.47,4.53
O=C(O)C1CC=CCC1C(=O)Nc1ccccc1,29.04,4.54
COc1ccc(NC(=O)CN2c3cccc4cccc(c34)S2(=O)=O)cc1,3.84,5.42
CCc1nnc(NS(=O)(=O)c2ccc(NC(=S)NC(=O)/C=C/c3cccs3)cc2)s1,9.13,5.04
CCc1nnc(NS(=O)(=O)c2ccc(N/C=C\C(=O)c3cccc4ccccc34)cc2)s1,10.07,5.0
Cl.O=C(CSc1nc[nH]n1)Nc1ccc([N+](=O)[O-])cc1Br,19.87,4.7
O=C(CN1C(=O)C2C3CC(C(Br)C3Br)C2C1=O)N1CCOCC1,47.55,4.32
CC(C)(C)C1CCc2c(C(=O)NNC(=O)CCC(=O)O)csc2C1,14.47,4.84
Cc1ccc2[nH]c(C)c(/C=C3/C(=N)N4C(=NC3=O)SN=C4S(=O)(=O)C(C)C)c2c1,7.16,5.14
CCOC(=O)C1CSC(CC(=O)Nc2ccc(OCC)cc2)C(=O)N1,11.42,4.94
CCOc1ccc(NC(=O)Nc2ccc3nccnc3c2)cc1,5.45,5.26
O=C(O)CCC(=O)Nc1sc2c(c1C(=O)Nc1ccccc1)CCCCC2,47.0,4.33
O=C(CSc1ccccc1)NN1C(=O)c2ccccc2C1=O,54.43,4.26
CCSc1nnc(NC(=O)C2CCCCC2C(=O)OCC(F)(F)C(F)F)s1,76.83,4.11
Cc1ccc(C(=O)Nc2nc(=O)n(C(=O)CC(C)C)s2)cc1,24.5,4.61
Cc1ccc(Nc2cnn(C34CC5CC(CC(CC(=O)O)(C5)C3)C4)c(=O)c2Cl)c(Cl)c1,24.37,4.61
Cc1ccc(NC(=O)CSc2nnc(NC(=O)CN3CCOCC3)s2)cc1,9.15,5.04
COc1ccc(NC(=O)Cc2c(F)cccc2Cl)cc1,13.56,4.87
COc1ccc(-c2[nH]c(N3CCOCC3)nc3nnc(N)c2-3)cc1,8.11,5.09
CCOC(=O)c1c(-c2cccc(C)c2)csc1NC(=O)C1CC=CCC1C(=O)O,5.96,5.22
Cc1sc(NC(=O)C2C3C=CC(C3)C2C(=O)O)c(C(N)=O)c1-c1ccc(C(C)C)cc1,4.99,5.3
COc1ccc(NC(=O)CSc2c(C)nn(-c3nnc(C)c(O)n3)c2C)cc1,83.73,4.08
CCc1ccc(Nc2nnc(SC3CCOC3=O)s2)cc1,2.64,5.58
C/C(=C\c1ccco1)C1C(C#N)=C(N)Oc2[nH]nc(-c3ccccc3)c21,83.66,4.08
Oc1cc(-c2ccccc2)nc2nc(SCc3ccccc3)nn12,5.04,5.3
Cc1ccc(-c2n[nH]c3c2C(C)C(C#N)=C(N)O3)cc1,16.33,4.79
CCOc1ccc(NC(=O)CSCC(=O)O)cc1,9.94,5.0
N#CC(C#N)C(c1ccsc1)c1c(-c2ccccc2)n[nH]c1O,36.66,4.44
Cc1c(Nc2nc3ccccc3nc2NS(=O)(=O)c2cccc(Cl)c2)c(=O)n(-c2ccccc2)n1C,21.28,4.67
C=CCn1c(SCC(=O)c2ccc(NS(=O)(=O)c3ccccc3)cc2)nnc1-c1cccs1,14.7,4.83
CCOC(=O)Nc1c(O)ccc2oc(C)c(-c3ccccc3)c12,17.28,4.76
CCOc1ccc(NC(=O)CN2C(=O)C3CCCN3C2=O)cc1,3.23,5.49
COc1ccc(N2C(C)=CC(=Cc3sc4ccccc4[n+]3C)C=C2C)cc1.[I-],60.3,4.22
COc1cccc(/C=C2/SC(=O)N(CC(=O)N3CCc4ccccc4C3)C2=O)c1OCC(=O)O,16.18,4.79
CCOc1ccc(NC(=O)CSc2nnnn2CC(=O)O)cc1,6.69,5.17
CC(C)(C)C1CCc2c(sc(NC(=O)C3CC=CCC3C(=O)O)c2C#N)C1,11.04,4.96
Cc1cc(C)nc(NS(=O)(=O)c2ccc(N/C=C3\CCCC3=O)cc2)n1,56.7,4.25
CCOC(=O)c1cc(=O)n2nc(-c3ccccc3F)nc2s1,31.17,4.51
Cc1nnc(SCC(=O)Nc2cccc(C(F)(F)F)c2)nc1O,15.14,4.82
O=c1[nH][nH]c(=O)c2cc(N3CCCC3)ccc12,70.72,4.15
Nc1[nH]nc2nc(N3CCCC3)nc(-c3ccccc3)c12,33.67,4.47
CCOC(=O)Cc1csc(NC(=O)NC2(C(F)(F)F)Oc3cc(Cl)c(Cl)cc3O2)n1,27.67,4.56
CCOc1ccccc1C1C(C#N)=C(N)Nc2onc(-c3ccccc3)c21,52.74,4.28
CCCOc1ccc(NC(=O)C2CC(=O)N(C(C)C)C2)cc1,99.67,4.0
CCOC(=O)c1ccc(NC(=O)CSc2nc(C)cc(O)n2)cc1,11.8,4.93
O=C(O)c1cnn2cc(-c3[nH]ncc3[N+](=O)[O-])cnc12,13.29,4.88
O=C(Nc1cccc(C(=O)O)c1)/C(=C\c1ccc2c(c1)OCO2)NC(=O)c1ccc(Br)o1,64.97,4.19
O=C(CSc1n[nH]c2c3ccccc3nc-2n1)Nc1ccc(S(=O)(=O)Nc2ncccn2)cc1,28.3,4.55
NC(=O)c1c(Nc2nc3c(F)cccc3s2)sc2c1CCCC2,81.84,4.09
CCOc1ccc(NC(=O)CSc2nnc(N)s2)c([N+](=O)[O-])c1,2.52,5.6
Clc1ccc(Nc2nc[nH]n2)cc1,1.53,5.82
COc1ccc(/C(C)=C2/SC(=S)N(CCC(=O)O)C2=O)cc1,27.39,4.56
CCCN1C=CC(=C/C=C(\C#N)C(=O)OCC)C=C1,91.49,4.04
O=C(O)CSc1nnc(CNc2cccc(C(F)(F)F)c2)n1Cc1ccco1,48.78,4.31
COc1cccc(CNc2nn[nH]n2)c1OC,67.22,4.17
Cc1cc(C(=O)OCC(=O)N2C(C)CCCC2C)c(C)o1,14.26,4.85
CCOC(=O)CC(=O)CSc1nc(O)c2sc(=S)n(-c3ccccc3)c2n1,40.57,4.39
Cc1cc(C(=O)COC(=O)c2cccnc2O)c(C)n1-c1ccc(F)cc1,1.98,5.7
O=C(CSc1nc[nH]n1)Nc1ncc(C(F)(F)F)cc1Cl,19.59,4.71
CCOc1cc(/C=C2\SC(=S)N(C(C(=O)O)c3ccccc3)C2=O)ccc1O,45.52,4.34
CCc1ccccc1NC(=O)CSc1nc[nH]n1,34.41,4.46
Cc1sc(NC(=O)C2CC=CCC2C(=O)O)c(C(=O)OC(C)C)c1C,24.12,4.62
Cc1cc(C)c(NC(=O)CN2C(=O)NC3(CCCCC3)C2=O)c(Cl)c1,29.31,4.53
N#Cc1c(O)nc(SCC(=O)Nc2cccc(Cl)c2)nc1-c1ccco1,2.5,5.6
Cc1cccc(C)c1Nc1nnc(SC(C)C(=O)Nc2c(C)n(C)n(-c3ccccc3)c2=O)s1,13.5,4.87
O=C(c1ccco1)N1CCN(C(=O)c2n[nH]cc2[N+](=O)[O-])CC1,2.22,5.65
COc1ccc(NC(=O)CSC2CC(=O)N(c3ccc4c(c3)OCCO4)C2=O)cc1,16.14,4.79
CCc1ccc(NC(=O)C2CCCCC2C(=O)O)cc1,12.06,4.92
Cc1cc(/C=C(/C#N)c2nc3ccccc3[nH]2)c(C)n1-c1cc(C(=O)O)cc(C(=O)O)c1,42.55,4.37
Nc1n[nH]c(N)c1N=Nc1ccc(F)cc1,8.11,5.09
COC(=O)c1c(-c2ccco2)csc1NC(=O)C1CC=CCC1C(=O)O,1.39,5.86
CCOc1cc(/C=C(/C#N)c2ccc(F)cc2)ccc1OCc1ccc(C(=O)O)o1,23.58,4.63
O=C1NC(=O)N(Cc2ccco2)C(=O)/C1=C/NNC(=O)c1ccccc1O,50.35,4.3
CCOc1ccc(C(=O)CN2CCN(S(=O)(=O)c3ccc(OC)cc3)CC2)cc1,73.52,4.13
COc1cccc(-c2[nH]nc3c2C(c2ccoc2)C(C#N)=C(N)O3)c1,76.77,4.12
O=C(O)CCCCCn1c(SCC(=O)c2ccc(O)c(O)c2)nc2ccsc2c1=O,12.83,4.89
Cc1csc(NC(=O)CCCC(=O)O)c1-c1nc2ccccc2s1,35.4,4.45
Cc1cc(C(=O)CSc2nc[nH]n2)c(C)n1-c1cccc(S(=O)(=O)N2CCOCC2)c1,22.79,4.64
Sc1n[nH]c(-c2ccccc2Br)n1,4.67,5.33
CCOc1ccc(NC(=O)CN2C(=O)C3CC=CCC3C2=O)cc1,3.86,5.41
O=C(NCc1ccco1)C(=O)c1cn(CC(=O)N2CCCCCC2)c2ccccc12,11.56,4.94
Cc1c(NC(=S)NC(=O)c2ccc(-c3ccc(Cl)cc3)o2)cccc1C(=O)O,29.7,4.53
Sc1n[nH]c(-c2ccccc2Cl)n1,3.17,5.5
O=C(O)C1CCCCC1C(=O)Nc1ccc(F)c(F)c1,37.81,4.42
CC1CCN(S(=O)(=O)c2ccc(NC(=O)CSc3ncccc3C(=O)O)cc2)CC1,9.68,5.01
CC(C)c1ccc(NC(=O)C2CCCCC2C(=O)O)cc1,3.51,5.46
CC1=C(C(=O)OCc2ccccc2)C(c2ccc(Cl)cc2Cl)NC(=O)N1CCCCCC(=O)O,20.38,4.69
CSc1cccc(NC(=O)CN2C(=O)c3ccccc3S2(=O)=O)c1,5.87,5.23
Cc1noc(NS(=O)(=O)c2ccc(NC(=O)CSc3nc4ccccc4s3)cc2)c1C,15.27,4.82
N#C/C(=C\c1ccc(N2CCOCC2)o1)C(=O)N1CCOCC1,99.66,4.0
O=C(CSc1nc[nH]n1)N1N=C2/C(=C/c3ccco3)CCCC2C1c1ccco1,2.11,5.68
Cc1ccccc1C(=O)Nc1nncs1,25.35,4.6
Oc1cc(-c2ccccc2)nc2nc(COc3ccccc3)nn12,7.61,5.12
CCCCN=C(S)Nc1ccc2c[nH]nc2c1,75.58,4.12
Cc1sc(NC(=O)C2CCCCC2C(=O)O)c(C(N)=O)c1-c1ccc(C(C)(C)C)cc1,11.07,4.96
O=C(NCC(=O)N1CCCC1C(=O)O)OC1CCCCC1,39.01,4.41
CC1SC(C)C(=O)N(CC(=O)NCc2ccc(F)cc2)C1=O,31.39,4.5
Cc1ncc(CC(=O)n2cc(C(=O)c3cc(F)ccc3O)cn2)s1,71.09,4.15
CC(C)CC1C(C#N)=C(N)Oc2[nH]nc(-c3ccccc3)c21,33.74,4.47
Sc1nc2cc(Cl)ccc2s1,14.78,4.83
Cc1ccc(Nc2nnc(SC(C)C(=O)Nc3c(C)n(C)n(-c4ccccc4)c3=O)s2)cc1,3.86,5.41
Cc1ccccc1C(=O)NNC(=S)NC(=O)c1ccccc1,91.17,4.04
COC(=O)c1c(NC(=O)/C=C/C(=O)O)sc(C)c1-c1ccc(C)c(C)c1,35.63,4.45
CCc1ccc(C(=O)CSc2nc[nH]n2)cc1,16.7,4.78
O=C(O)c1ccc(COc2ccc3ccccc3c2/C=C2/NC(=O)N(c3ccccc3)C2=O)cc1,24.6,4.61
Cc1cc(C(=O)COC(=O)c2cccnc2O)c(C)n1-c1ccc(Br)cc1,2.74,5.56
Cc1ccc(Nc2nnc(SC/C(O)=C(\C#N)c3nc4ccccc4[nH]3)s2)c(C)c1,6.03,5.22
O=C(O)C1CC=CCC1C(=O)Nc1ccc(Oc2ccc(Cl)cc2)cc1,1.02,5.99
CC1=C(C)CC(C(=O)NCCc2ccccc2)C(C(=O)O)C1,45.99,4.34
C=CCn1c(=S)[nH]c2sc3c(c2c1=O)CCC3,46.19,4.33
C=CCn1c(SCC(=O)Nc2cccc3ccccc23)nc(=O)c(CC)c1O,4.06,5.39
O=C(O)c1cccc(CN2C(=O)SC(Nc3ccccc3)C2=O)c1,34.29,4.46
COC(=O)c1ccc(NCC(=O)N2CCCCCC2)cc1,40.33,4.39
Cc1ccc(NC(=O)CSc2ncc(S(=O)(=O)c3ccccc3)c(O)n2)cc1C,4.56,5.34
O=C(CN1C(=O)CCSc2ccccc21)Nc1ccc2c(c1)OCCO2,16.08,4.79
O=C(Cn1nnc2ccccc2c1=O)Nc1ccc2c(c1)CCC2,1.51,5.82
O=C(O)c1cccc(-n2cccc2/C=C2/NC(=O)N(Cc3ccccc3F)C2=O)c1,53.22,4.27
CC(=O)N1CCC2(CC1)C(C#N)=C(N)Oc1[nH]nc(CSc3ccc(C)cc3)c12,21.13,4.67
CCS(=O)(=O)C1=NN2C(=N)/C(=C\c3ccc(O)c(OC)c3)C(=O)N=C2S1,35.2,4.45
Cn1c(NC(=O)/C=C\c2ccccc2)cc(=O)n(C)c1=O,78.41,4.11
COCCSc1nnc(NC(=O)c2cc(C(=O)OC)cc([N+](=O)[O-])c2)s1,60.2,4.22
CC(C)CCNC(=O)c1ccc2c(SCC(=O)O)c3c(nc2c1)CCCC3,39.19,4.41
O=C(CSc1nnc(NC(=O)c2c(F)cccc2F)s1)Nc1ccc(F)cc1,32.31,4.49
O=C(CN1C(=O)C2C3C=CC(C3)C2C1=O)Nc1ccc2c(c1)OCCO2,21.02,4.68
O=C(CC(Nc1cccc(Cl)c1Cl)C(=O)O)c1ccccc1,14.2,4.85
O=C(CSc1nc[nH]n1)Nc1ccccc1C(=O)O,35.56,4.45
O=C(CN1C(=O)c2ccccc2S1(=O)=O)NCCSc1ccccc1,5.54,5.26
CCc1c(C)nc(SCC(=O)Nc2ccc3c(c2)OCCO3)nc1O,10.16,4.99
CCOc1ccc(NC(=O)CN2C(=O)CSC(C)C2=O)cc1,1.21,5.92
CC(C)[C@H](NC(=O)Nc1ccc(Oc2ccccc2)cc1)C(=O)O,15.68,4.8
Nc1cc(N)nc(SCC(=O)Nc2ccc3c(c2)OCCCO3)n1,14.44,4.84
O=C(CN1C(=O)C2C3C=CC(C4CC34)C2C1=O)Nc1cnc2ccccc2c1,21.74,4.66
CCOc1ccccc1N1C(=O)CC(Sc2n[nH]c(-c3ccccc3)n2)C1=O,8.97,5.05
O=C(O)C1CC=CCC1C(=O)Nc1cc(Cl)ccc1Cl,6.22,5.21
COc1ccc2oc(C)c(C(=O)NN)c2c1,26.63,4.58
COc1ccc(-c2c[nH]nc2N)cc1,60.83,4.22
CCOC(=O)c1cccc(NC(=O)CSc2nc(N)cc(N)n2)c1,13.79,4.86
CCCCc1ccc(C(=O)NC(C(=O)O)C(C)C)cc1,4.71,5.33
COc1ccc(NC(=O)Nc2ccc(C(=O)N3CCOCC3)cc2)cc1,31.6,4.5
CC1CCN(CC(=O)Nc2ccc(N3CCCCCC3)cc2)CC1.O=C(O)C(=O)O,12.97,4.89
CCC(C)[C@H](NC(=O)Nc1ccc(Oc2ccccc2)cc1)C(=O)O,21.81,4.66
O=C(O)C1CCCCC1C(=O)Nc1cc(Cl)ccc1Cl,24.96,4.6
Cc1sc(NC(=O)C2C3CCC(O3)C2C(=O)O)c(C(=O)OC(C)C)c1-c1ccc(Cl)cc1,10.07,5.0
O=S(=O)(c1ccc2nc(O)c(O)nc2c1)N1CCN(Cc2ccccc2)CC1,2.62,5.58
CCCOc1ccc(N2C(=O)CC(SCCN)C2=O)cc1.Cl,12.05,4.92
Cc1ccc(SC(C)C(=O)Nc2ccc(S(=O)(=O)N3CCOCC3)cc2)cc1,21.17,4.67
CC1CCC2(CC1)NC(=O)N(CC(=O)Nc1ccc(N3CCOCC3)cc1)C2=O,58.64,4.23
CC(C)Sc1nc(O)cc(-c2ccccc2)n1,28.29,4.55
O=C(O)C1CC=CCC1C(=O)NCCc1cccc(Cl)c1,11.83,4.93
Nc1[nH]ncc1C(=O)Nc1cccc(C(F)(F)F)c1,44.51,4.35
N#Cc1cccc(NC(=O)CN2NS(=O)(=O)c3ccccc3C2=O)c1,14.9,4.83
O=C(Nc1ccccc1)NC(Cc1ccc(O)cc1)C(=O)O,34.67,4.46
Cc1ccc(SCc2n[nH]c3c2C2(CCSCC2)C(C#N)=C(N)O3)cc1,90.99,4.04
CC(C)C1N=C2c3ccccc3N=C(SCC(=O)c3ccc(O)c(O)c3)N2C1=O,17.67,4.75
CCOC(=O)c1cnn2cc(-c3[nH]ncc3[N+](=O)[O-])cnc12,5.26,5.28
COc1ccc(Nc2nnc(SCC(=O)N3CCCC3)s2)cc1,10.09,5.0
CCOC(=O)c1c(NC(=O)C2C3C=CC(C3)C2(C)C(=O)O)sc2c1CCCC2,8.1,5.09
CCSc1nnc(NC(=O)C2(C)Cc3ccccc3C(=O)O2)s1,33.63,4.47
COc1ccc(-n2c(S)nnc2-c2cccc(C)c2[N+](=O)[O-])cc1,23.84,4.62
O=C(CN1C(=O)S/C(=C/C=C/c2ccccc2)C1=O)Nc1ccc(C(=O)O)cc1,24.52,4.61
Cc1ccc(S(=O)(=O)N(CC(=O)Nc2ccccc2C(=O)O)c2cccc(Cl)c2C)cc1,24.72,4.61
COc1ccccc1NC(=O)CSc1nc[nH]n1,36.75,4.43
O=P(NS(=O)(=O)c1ccc(Br)cc1)(Oc1ccccc1)Oc1ccccc1,30.13,4.52
O=S(=O)(Nc1nc2ccccc2nc1NCCN1CCOCC1)c1cccc(Cl)c1,25.88,4.59
CC(C)c1ccc(NC(=O)CSc2ncccc2C(=O)Oc2cccc([N+](=O)[O-])c2)cc1,8.47,5.07
O=C(O)C1CC=CCC1C(=O)Nc1ccc(F)c(F)c1,20.37,4.69
COc1ccc(S(=O)(=O)Nc2ccc(O)c(Sc3nc[nH]n3)c2)cc1,25.01,4.6
O=C(O)CSCC(=O)Nc1ccc(C2CCCCC2)cc1,12.63,4.9
CCSc1nnc(NC(=O)C2CC=CCC2C(=O)O)s1,19.89,4.7
Cc1ccc(NC(=O)CN(C)C(=O)CSc2n[nH]c(N)n2)cc1,44.67,4.35
Nc1[nH]nc2nc(N3CCOCC3)nc(-c3ccccc3)c12,6.77,5.17
CC(C)(C)c1ccc(COc2ccsc2C(=O)O)cc1,11.55,4.94
O=C(O)COc1ccc(/C=C/c2ccc3cccc([N+](=O)[O-])c3n2)cc1,23.22,4.63
Cc1cc(-c2[nH]nc3c2C(c2cccc(O)c2)C(C#N)=C(N)O3)c(C)s1,52.76,4.28
CC(=O)NS(=O)(=O)c1ccc(NC(=O)c2cc(-c3ccc(C)cc3)nc3ccccc23)cc1,13.67,4.86
Cc1sc(N=C(S)Nc2ccc(F)cc2)c(C(N)=O)c1C,53.1,4.28
N#CC1=C(N)Oc2[nH]nc(-c3ccc(F)cc3)c2C1c1ccncc1,94.29,4.03
COC(=O)c1cccc(NC(=O)Cn2cnc3ccccc3c2=O)c1,43.53,4.36
Cc1ccc(NC(=O)CSc2nnc(C)c(O)n2)cc1C,3.51,5.46
CCOc1cc(C2C(C#N)=C(N)Oc3[nH]nc(-c4ccccc4)c32)ccc1O,77.14,4.11
N#Cc1c(NC(=O)Cn2cnc3ccccc3c2=O)oc(-c2ccccc2)c1-c1ccccc1,1.47,5.83
O=[N+]([O-])c1ccc(Sc2n[nH]c(-c3ccccc3)n2)nc1,31.54,4.5
Cc1ccc(C)c(NC(=O)CSc2[nH]cnc3ncnc2-3)c1,50.84,4.29
Cc1ccc(NC2SC(=O)N(Cc3cccc(C(=O)O)c3)C2=O)cc1,6.86,5.16
COc1ccc(NC(S)=NNc2ccc(S(=O)(=O)Nc3ccccc3C(=O)O)cc2[N+](=O)[O-])cc1,4.33,5.36
O=C(O)CC12CC3CC(C1)CC(n1ncc(NCc4ccc5c(c4)OCO5)c(Cl)c1=O)(C3)C2,40.64,4.39
CCCCC(=O)NNC(=S)NC(=O)c1cccc([N+](=O)[O-])c1,49.06,4.31
CCOc1cc(/C=C2/SC(=O)N(CC(=O)N3CCc4ccccc4C3)C2=O)ccc1OCC(=O)O,10.62,4.97
CCOc1ccc(NC(=O)CSc2nnc(CCNC(=O)c3ccc(OC)cc3)n2CC)cc1,8.71,5.06
COc1ccc(CC(CC(=O)O)C(=O)Nc2ccccc2)cc1,47.22,4.33
Cc1ccc(C(=O)Nc2ccc(Oc3ccc(C(=O)O)c(C(=O)O)c3)cc2)cc1C,13.16,4.88
Clc1ccccc1CNc1[nH]cnc2ncnc1-2,48.32,4.32
Cc1[nH]c2ccccc2c1N=Nc1cccc(C(=O)O)c1,80.81,4.09
Cc1c(OCc2nn[nH]n2)ccc2c(-c3ccccc3)cc(=O)oc12,95.15,4.02
CC(C)c1c(O)nc(SCC(=O)Nc2ccc3c(c2)CCC3)nc1O,8.08,5.09
Cc1ccccc1Oc1ccc(NC(=O)C2CC=CCC2C(=O)O)cc1,1.33,5.88
CC/C(NNC(=O)c1ccccc1O)=C1/C(=O)NC(=O)N(Cc2ccccc2)C1=O,47.31,4.33
